date,SmallCap,LargeCap
1967-06,0.1332,0.0123
1967-07,0.1113,0.0512
1967-08,0.0221,-0.007
1967-09,0.0992,0.0209
1967-10,0.0025,-0.0376
1967-11,-0.0158,0.0073
1967-12,0.1144,0.0316
1968-01,0.0889,-0.0552
1968-02,-0.0713,-0.0244
1968-03,-0.0197,0.01
1968-04,0.171,0.0839
1968-05,0.1578,0.0128
1968-06,0.0231,0.0174
1968-07,-0.0153,-0.0279
1968-08,0.0487,0.0143
1968-09,0.0801,0.0356
1968-10,0.0039,0.0091
1968-11,0.0653,0.0604
1968-12,0.0421,-0.031
1969-01,0.0035,-0.0088
1969-02,-0.1057,-0.0487
1969-03,0.0208,0.0319
1969-04,-0.0069,0.0191
1969-05,0.0175,0.0056
1969-06,-0.1358,-0.0671
1969-07,-0.1162,-0.0579
1969-08,0.0407,0.0556
1969-09,-0.0375,-0.0303
1969-10,0.1181,0.0542
1969-11,-0.0731,-0.0332
1969-12,-0.1071,-0.0156
1970-01,0.0024,-0.0863
1970-02,0.0278,0.0702
1970-03,-0.0363,-0.0101
1970-04,-0.1908,-0.0929
1970-05,-0.0884,-0.0603
1970-06,-0.0838,-0.0503
1970-07,0.0341,0.0728
1970-08,0.0603,0.0373
1970-09,0.1781,0.0301
1970-10,-0.0872,-0.0149
1970-11,-0.0461,0.0479
1970-12,0.0825,0.0623
1971-01,0.211,0.0407
1971-02,0.0824,0.0139
1971-03,0.0612,0.0415
1971-04,0.0151,0.0313
1971-05,-0.0659,-0.0344
1971-06,-0.0356,0.0076
1971-07,-0.0676,-0.0392
1971-08,0.0279,0.0432
1971-09,-0.0046,-0.0111
1971-10,-0.0685,-0.0383
1971-11,-0.0559,0.005
1971-12,0.1244,0.0837
1972-01,0.1817,0.0147
1972-02,0.0561,0.0331
1972-03,-0.0087,0.0023
1972-04,-0.0011,0.0074
1972-05,-0.0341,0.0184
1972-06,-0.0401,-0.02
1972-07,-0.0337,-0.0031
1972-08,-0.0048,0.0449
1972-09,-0.0411,-0.0102
1972-10,-0.0321,0.0246
1972-11,0.0339,0.0504
1972-12,-0.0383,0.0135
1973-01,-0.0107,-0.0276
1973-02,-0.0776,-0.038
1973-03,-0.0284,-0.0023
1973-04,-0.0735,-0.0466
1973-05,-0.1047,-0.0142
1973-06,-0.0335,-0.0105
1973-07,0.1123,0.0579
1973-08,-0.0532,-0.024
1973-09,0.0564,0.059
1973-10,-0.0008,0
1973-11,-0.1855,-0.114
1973-12,-0.0662,0.0189
1974-01,0.1737,-0.0067
1974-02,0.0105,0.0106
1974-03,0.0265,-0.0274
1974-04,-0.0469,-0.0457
1974-05,-0.0667,-0.0302
1974-06,-0.0271,-0.0278
1974-07,-0.0544,-0.0796
1974-08,-0.0755,-0.1014
1974-09,-0.0739,-0.116
1974-10,0.0572,0.2097
1974-11,-0.0572,-0.0322
1974-12,-0.0983,-0.0281
1975-01,0.3202,0.1286
1975-02,0.0657,0.0613
1975-03,0.0989,0.0414
1975-04,0.0288,0.0531
1975-05,0.0811,0.061
1975-06,0.0779,0.0524
1975-07,0.0218,-0.0703
1975-08,-0.0525,-0.0177
1975-09,-0.0351,-0.0468
1975-10,-0.0009,0.062
1975-11,0.0129,0.0323
1975-12,-0.0042,-0.0159
1976-01,0.2035,0.1147
1976-02,0.1605,-0.0185
1976-03,0.0285,0.0268
1976-04,-0.001,-0.0113
1976-05,-0.0244,-0.0068
1976-06,0.0173,0.0537
1976-07,0.0043,-0.0066
1976-08,-0.0176,-0.0022
1976-09,0.007,0.0234
1976-10,-0.0211,-0.0254
1976-11,0.0181,-0.0076
1976-12,0.1098,0.0542
1977-01,0.069,-0.0589
1977-02,0.0167,-0.0165
1977-03,0.017,-0.0147
1977-04,0.0208,-0.0029
1977-05,0.0104,-0.0184
1977-06,0.0492,0.0532
1977-07,0.026,-0.0137
1977-08,0.0025,-0.0136
1977-09,0.0206,-0.0067
1977-10,-0.0178,-0.0467
1977-11,0.0713,0.0426
1977-12,0.0269,0.0001
1978-01,0.0093,-0.0649
1978-02,0.0396,-0.018
1978-03,0.0766,0.0286
1978-04,0.0836,0.0939
1978-05,0.0893,0.0211
1978-06,0.0192,-0.0147
1978-07,0.0457,0.06
1978-08,0.12,0.0266
1978-09,0.0184,-0.0132
1978-10,-0.1923,-0.0874
1978-11,0.0314,0.0283
1978-12,0.0112,0.0135
1979-01,0.1062,0.0423
1979-02,-0.0106,-0.0354
1979-03,0.0776,0.0506
1979-04,0.0367,-0.0003
1979-05,0.002,-0.0174
1979-06,0.0522,0.0482
1979-07,0.0171,0.0134
1979-08,0.0753,0.0627
1979-09,-0.0015,0.0032
1979-10,-0.095,-0.066
1979-11,0.0534,0.0595
1979-12,0.0819,0.0237
1980-01,0.1321,0.0483
1980-02,0.005,-0.0171
1980-03,-0.1751,-0.0748
1980-04,0.0399,0.0458
1980-05,0.0645,0.0647
1980-06,0.042,0.0247
1980-07,0.0903,0.0691
1980-08,0.083,0.0121
1980-09,0.0656,0.0275
1980-10,0.0624,0.0037
1980-11,0.0629,0.1008
1980-12,-0.0395,-0.0031
1981-01,0.0219,-0.0458
1981-02,-0.0016,0.0199
1981-03,0.0716,0.0432
1981-04,0.0405,-0.0167
1981-05,0.0325,0.008
1981-06,0.0002,-0.0014
1981-07,-0.0209,0.0023
1981-08,-0.0798,-0.0542
1981-09,-0.1029,-0.0561
1981-10,0.065,0.0686
1981-11,0.0031,0.0466
1981-12,-0.0209,-0.0352
1982-01,-0.0052,-0.0193
1982-02,-0.0443,-0.0558
1982-03,-0.0104,-0.014
1982-04,0.0535,0.045
1982-05,-0.0175,-0.0406
1982-06,-0.0338,-0.0167
1982-07,-0.0148,-0.0193
1982-08,0.0362,0.1354
1982-09,0.0296,0.0058
1982-10,0.1228,0.1251
1982-11,0.1126,0.0367
1982-12,0.0308,0.0082
1983-01,0.1533,0.0308
1983-02,0.0626,0.0346
1983-03,0.0618,0.0394
1983-04,0.0867,0.0663
1983-05,0.1226,-0.0027
1983-06,0.0577,0.0296
1983-07,-0.0124,-0.0407
1983-08,-0.0289,0.0161
1983-09,-0.013,0.0146
1983-10,-0.0608,-0.0125
1983-11,0.0156,0.0267
1983-12,-0.0264,-0.004
1984-01,0.0222,-0.0088
1984-02,-0.0565,-0.0391
1984-03,0.005,0.0159
1984-04,-0.0304,0.0142
1984-05,-0.0469,-0.054
1984-06,0.0029,0.0302
1984-07,-0.0559,-0.0105
1984-08,0.0677,0.1122
1984-09,-0.0008,-0.0092
1984-10,-0.0324,0.0086
1984-11,-0.0453,-0.0107
1984-12,-0.0048,0.0251
1985-01,0.1309,0.0766
1985-02,0.0665,0.019
1985-03,-0.0082,0.009
1985-04,-0.0165,-0.0058
1985-05,0.0102,0.0721
1985-06,0.0059,0.0208
1985-07,0.0207,-0.007
1985-08,-0.0035,-0.0001
1985-09,-0.0623,-0.0305
1985-10,-0.0002,0.0454
1985-11,0.0401,0.0726
1985-12,0.0189,0.0463
1986-01,0.0633,0.0095
1986-02,0.0536,0.0854
1986-03,0.0448,0.0602
1986-04,0.022,-0.0172
1986-05,0.0325,0.0578
1986-06,0.0111,0.0181
1986-07,-0.0737,-0.0453
1986-08,-0.0016,0.0705
1986-09,-0.059,-0.0974
1986-10,0.0122,0.0709
1986-11,-0.0153,0.0175
1986-12,-0.0442,-0.0258
1987-01,0.1185,0.135
1987-02,0.0796,0.0441
1987-03,0.046,0.0143
1987-04,-0.0109,-0.022
1987-05,0.0068,0.0101
1987-06,0.0195,0.0543
1987-07,0.0304,0.0468
1987-08,0.0035,0.0401
1987-09,-0.0119,-0.0152
1987-10,-0.277,-0.2033
1987-11,-0.054,-0.0883
1987-12,-0.0063,0.0769
1988-01,0.1,0.0551
1988-02,0.0551,0.0441
1988-03,0.0448,-0.0379
1988-04,0.0124,0.0003
1988-05,-0.017,0.0124
1988-06,0.0393,0.0477
1988-07,0.0072,-0.0025
1988-08,-0.021,-0.0241
1988-09,0.0125,0.0481
1988-10,-0.0213,0.0299
1988-11,-0.0494,-0.015
1988-12,0.013,0.0203
1989-01,0.072,0.0675
1989-02,0.0035,-0.0253
1989-03,0.0132,0.03
1989-04,0.0265,0.0545
1989-05,0.0223,0.0448
1989-06,-0.011,-0.0071
1989-07,0.0158,0.0944
1989-08,0.0143,0.0132
1989-09,0.0057,0.0027
1989-10,-0.05,-0.0164
1989-11,-0.0239,0.0189
1989-12,-0.0295,0.0186
1990-01,-0.0284,-0.0715
1990-02,0.0152,0.0107
1990-03,0.0216,0.0248
1990-04,-0.0168,-0.0252
1990-05,0.0268,0.0969
1990-06,0.0116,-0.0057
1990-07,-0.0274,-0.0067
1990-08,-0.1094,-0.089
1990-09,-0.0755,-0.0526
1990-10,-0.0701,-0.0028
1990-11,0.0048,0.0682
1990-12,-0.0311,0.0335
1991-01,0.095,0.0529
1991-02,0.155,0.0631
1991-03,0.1072,0.0222
1991-04,0.0559,-0.0032
1991-05,0.024,0.0407
1991-06,-0.0269,-0.0469
1991-07,0.0287,0.047
1991-08,0.0283,0.0297
1991-09,0.0145,-0.0178
1991-10,0.0267,0.0113
1991-11,-0.0048,-0.0363
